,Q1'24,Q1'24,Q1'24,Q2'24,Q2'24,Q2'24,Q3'24,Q3'24,Q3'24,Q4'24,Q4'24,Q4'24,Q1'25,Q1'25,Q1'25,Q2'25,Q2'25,Q2'25,Q3'25,Q3'25,Q3'25,Q4'25,Q4'25,Q4'25
,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Fcst,Fcst,Fcst,Fcst,Fcst,Fcst
,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
MEMBERSHIP SOLD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.1297734839,,,,,,,,,,,,-0.2224577443,,,
Direct,"23,129","20,727","21,917","24,105","26,476","28,914","30,856","30,638","26,662","23,289","49,055","68,640","34,975","28,604","32,014","29,678","62,894","54,488","61,221","54,253","42,184","39,408","75,863","72,281"
Trial Conversions,"10,454","17,459","19,597","17,672","17,948","23,498","25,715","32,813","34,658","34,785","31,308","28,508","21,141","34,157","32,913","29,542","31,701","29,776","22,482","24,167","33,654","39,292","37,378","41,506"
Wholesale,"7,968","8,123","9,176","8,318","14,575","14,466","20,551","21,283","14,398","17,214","33,521","37,137","25,283","18,200","20,800","17,003","34,501","32,915","46,944","36,384","38,110","54,456","75,127","66,364"
Other,"1,092",794,933,"1,356","1,159","2,450","1,236","1,422","2,359","3,389","2,049","1,900","2,282","2,163","2,980","2,275","11,775","10,113","29,200","13,432","9,624","6,557","5,555","5,906"
TOTAL MEMBERSHIP SOLD,"42,643","47,103","51,623","51,451","60,158","69,328","78,358","86,156","78,077","78,677","115,933","136,185","83,681","83,124","88,707","78,498","140,871","127,292","159,848","128,236","123,572","139,713","193,923","186,058"
,,,,,,,"91,624","98,731","87,807","78,121",,,,,,,,,"110,218","120,059","111,771","104,358",,
Other Membership Sold Breakout,,,,,,,,7.76%,-11.06%,-11.03%,,,,,,,,,,8.93%,-6.90%,-6.63%,,
Upcycle,799,785,854,788,882,"1,043","1,149","1,271","1,441","1,334","1,177","1,263","1,485","1,625","1,588","1,775","10,896","9,295","28,336","12,578","8,824","5,884","4,556","3,794"
Partnership Bulk Sales,293,9,79,568,277,"1,407",87,151,918,"2,055",872,637,797,538,"1,392",500,879,818,864,854,800,673,999,"2,112"
Enterprise,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
TRIALS BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
US Trial Purchases,"13,814","13,027","13,669","12,378","15,454","15,617","16,922","17,378","17,349","15,695","13,541","11,678","22,328","17,153","19,820","19,137","16,501","13,971","14,360","22,118","22,970","21,698","24,506","15,971"
INTL Trial Purchases,"23,218","21,956","20,116","21,010","29,638","29,708","43,846","50,715","43,796","39,137","35,765","25,494","43,876","33,995","41,657","36,741","40,669","30,877","34,637","43,687","46,617","43,253","52,540","39,143"
Partnership Trial Purchases,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRIAL PURCHASES,"37,032","34,983","33,785","33,388","45,092","45,325","60,768","68,093","61,145","54,832","49,306","37,172","66,204","51,148","61,477","55,878","57,170","44,848","48,997","65,806","69,587","64,950","77,046","55,114"
,,,,,,,,,,,,,,,,,,,,,,,,
US Eligible Trialers,"7,116","10,565","12,440","12,226","10,604","12,655","14,609","16,072","15,599","15,694","14,490","13,014","11,225","18,032","17,615","16,286","18,002","16,922","14,814","14,230","19,532","22,686","22,122","23,570"
INTL Eligible Trialers,"10,219","18,870","21,294","18,644","19,177","25,822","27,930","37,988","45,040","46,547","40,577","37,886","28,162","39,174","40,072","34,791","38,896","41,428","33,815","33,509","40,972","45,738","44,262","49,753"
Partnership Eligible Trialers,,,,,,,,,,,-,-,,-,-,-,-,-,-,-,-,-,-,-
TOTAL ELIGIBLE TRIALERS,"17,335","29,435","33,734","30,870","29,781","38,476","42,539","54,060","60,639","62,241","55,067","50,900","39,387","57,206","57,687","51,077","56,898","58,350","48,629","47,739","60,504","68,424","66,384","73,324"
,,,,,,,,,,,,,,,,,,,,,,,,
US Trial Conversions,"4,759","6,990","8,060","7,585","6,971","8,537","9,376","10,214","9,796","9,738","8,885","7,845","6,880","12,004","11,198","10,021","10,767","9,754","7,806","8,128","11,904","14,353","14,112","15,111"
INTL Trial Conversions,"5,695","10,469","11,537","9,896","10,977","14,961","16,339","22,599","24,862","25,047","22,423","20,663","14,261","22,153","21,715","19,521","20,934","20,022","14,675","16,038","21,750","24,939","23,266","26,395"
Partnership Trial Conversions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL TRIAL CONVERSIONS,"10,454","17,459","19,597","17,481","17,948","23,498","25,715","32,813","34,658","34,785","31,308","28,508","21,141","34,157","32,913","29,542","31,701","29,776","22,482","24,167","33,654","39,292","37,378","41,506"
,,,,,,,,,,,,,,,,,,,,,,,,
US Trial CVR %,67.0%,66.0%,65.0%,62.0%,66.0%,67.0%,64.0%,64.0%,63.0%,62.0%,61.0%,60.0%,61.3%,66.6%,63.6%,61.5%,59.8%,57.6%,52.7%,57.1%,60.9%,63.3%,63.8%,64.1%
INTL Trial CVR%,56.0%,55.0%,54.0%,53.0%,57.0%,58.0%,59.0%,59.0%,55.0%,54.0%,55.0%,55.0%,50.6%,56.6%,54.2%,56.1%,53.8%,48.3%,43.4%,47.9%,53.1%,54.5%,52.6%,53.1%
Partnership Trial CVR%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
TOTAL DTC Trial CVR %,60.3%,59.3%,58.1%,56.6%,60.3%,61.1%,60.5%,60.7%,57.2%,55.9%,56.9%,56.0%,53.7%,59.7%,57.1%,57.8%,55.7%,51.0%,46.2%,50.6%,55.6%,57.4%,56.3%,56.6%
TOTAL TRIAL CVR % (Incl. Partnership),60.3%,59.3%,58.1%,56.6%,60.3%,61.1%,60.5%,60.7%,57.2%,55.9%,56.9%,56.0%,53.7%,59.7%,57.1%,57.8%,55.7%,51.0%,46.2%,50.6%,55.6%,57.4%,56.3%,56.6%
,,,,,,,,,,,,,,,,,,,,,,,,
MEMBERSHIP TOTALS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beginning Consumer Members,"748,277","776,405","807,580","833,505","859,143","894,654","941,207","992,544","1,041,600","1,089,437","1,131,355","1,177,957","1,284,887","1,336,674","1,384,094","1,429,020","1,468,187","1,551,735","1,635,218","1,731,529","1,809,801","1,880,720","1,960,649","2,055,401"
   New Members (Activations),"47,072","48,584","49,646","48,408","56,124","65,026","74,422","80,077","75,728","75,628","73,876","140,896","88,164","80,074","82,386","75,834","113,634","119,813","142,071","130,226","123,622","132,609","142,890","204,951"
   Churned Members,"(27,616)","(24,267)","(31,055)","(30,557)","(28,771)","(26,120)","(31,067)","(38,798)","(37,036)","(42,854)","(37,877)","(49,871)","(50,664)","(44,216)","(51,486)","(49,995)","(52,712)","(54,204)","(62,887)","(66,767)","(67,356)","(67,214)","(62,395)","(81,726)"
     Returns & Trial Cancellation,"(1,064)",(857),"(1,651)","(1,240)",(892),"(1,002)","(1,399)","(1,517)","(1,392)","(1,960)","(1,620)","(2,032)","(2,090)","(2,168)","(2,691)","(1,742)","(2,549)","(2,408)","(4,553)","(3,318)","(3,505)","(3,585)","(3,475)","(4,127)"
     Churn (excl. M1),"(26,552)","(23,410)","(29,404)","(29,317)","(27,879)","(25,118)","(29,668)","(37,281)","(35,644)","(40,894)","(36,257)","(47,839)","(48,574)","(42,048)","(48,795)","(48,253)","(50,163)","(51,796)","(58,334)","(63,449)","(63,851)","(63,629)","(58,920)","(77,599)"
   Re-Engaged Members / Legacy,"8,672","6,858","7,334","7,787","8,158","7,647","7,982","7,777","9,145","9,144","10,603","15,905","14,287","11,562","14,026","13,328","22,626","17,874","17,128","14,813","14,653","14,533","14,258","15,569"
Ending Consumer Members,"776,405","807,580","833,505","859,143","894,654","941,207","992,544","1,041,600","1,089,437","1,131,355","1,177,957","1,284,887","1,336,674","1,384,094","1,429,020","1,468,187","1,551,735","1,635,218","1,731,529","1,809,801","1,880,720","1,960,649","2,055,401","2,194,196"
,,,,,,,,,,,,,,,,,,,,,,,,
Total Enterprise Members,"9,617","9,503","9,504","9,412","9,036","8,504","8,664","7,666","6,639","5,420","5,109","4,434","4,090","4,043","3,922","3,876","1,832","1,763","1,763","1,763","1,763","1,763","1,763","1,763"
